2026-01-08 22:59:37.342787 | Samples: 40 | Loss: 0.1434 | LR: 4.79e-05
2026-01-08 23:00:37.281540 | Samples: 40 | Loss: 0.1930 | LR: 4.79e-05
2026-01-08 23:01:30.860115 | Samples: 40 | Loss: 0.1785 | LR: 4.79e-05
2026-01-08 23:02:25.629707 | Samples: 40 | Loss: 0.1738 | LR: 4.78e-05
2026-01-08 23:03:24.173646 | Samples: 40 | Loss: 0.1542 | LR: 4.78e-05
2026-01-08 23:04:22.368654 | Samples: 40 | Loss: 0.1264 | LR: 4.78e-05
2026-01-08 23:05:13.281781 | Samples: 40 | Loss: 0.1369 | LR: 4.77e-05
2026-01-08 23:06:02.496294 | Samples: 40 | Loss: 0.1093 | LR: 4.77e-05
2026-01-08 23:06:50.289781 | Samples: 40 | Loss: 0.1740 | LR: 4.77e-05
2026-01-08 23:07:41.934155 | Samples: 40 | Loss: 0.1377 | LR: 4.76e-05
2026-01-08 23:08:30.065215 | Samples: 40 | Loss: 0.1569 | LR: 4.76e-05
2026-01-08 23:09:21.240640 | Samples: 40 | Loss: 0.1208 | LR: 4.76e-05
2026-01-08 23:10:12.530525 | Samples: 40 | Loss: 0.1429 | LR: 4.75e-05
2026-01-08 23:11:04.670042 | Samples: 40 | Loss: 0.1945 | LR: 4.75e-05
2026-01-08 23:11:58.615969 | Samples: 40 | Loss: 0.1618 | LR: 4.75e-05
2026-01-08 23:12:50.717560 | Samples: 40 | Loss: 0.1430 | LR: 4.74e-05
2026-01-08 23:13:48.172189 | Samples: 40 | Loss: 0.1531 | LR: 4.74e-05
2026-01-08 23:14:36.670560 | Samples: 40 | Loss: 0.1792 | LR: 4.74e-05
2026-01-08 23:15:25.856853 | Samples: 40 | Loss: 0.1551 | LR: 4.73e-05
2026-01-08 23:16:13.130082 | Samples: 40 | Loss: 0.1945 | LR: 4.73e-05
2026-01-08 23:17:07.987340 | Samples: 40 | Loss: 0.1530 | LR: 4.73e-05
2026-01-08 23:17:58.868188 | Samples: 40 | Loss: 0.1713 | LR: 4.72e-05
2026-01-08 23:18:53.661297 | Samples: 40 | Loss: 0.1250 | LR: 4.72e-05
2026-01-08 23:19:43.870518 | Samples: 40 | Loss: 0.1850 | LR: 4.72e-05
2026-01-08 23:20:39.124307 | Samples: 40 | Loss: 0.1293 | LR: 4.71e-05
2026-01-08 23:21:27.698858 | Samples: 40 | Loss: 0.1496 | LR: 4.71e-05
2026-01-08 23:22:12.488492 | Samples: 40 | Loss: 0.1585 | LR: 4.70e-05
2026-01-08 23:23:01.218518 | Samples: 40 | Loss: 0.1247 | LR: 4.70e-05
2026-01-08 23:23:49.590678 | Samples: 40 | Loss: 0.1158 | LR: 4.70e-05
2026-01-08 23:24:40.705445 | Samples: 40 | Loss: 0.1357 | LR: 4.69e-05
2026-01-08 23:25:34.917644 | Samples: 40 | Loss: 0.1492 | LR: 4.69e-05
2026-01-08 23:26:31.485395 | Samples: 40 | Loss: 0.0810 | LR: 4.69e-05
2026-01-08 23:27:20.149772 | Samples: 40 | Loss: 0.1470 | LR: 4.68e-05
2026-01-08 23:28:11.472136 | Samples: 40 | Loss: 0.1548 | LR: 4.68e-05
2026-01-08 23:29:03.798704 | Samples: 40 | Loss: 0.1616 | LR: 4.67e-05
2026-01-08 23:29:58.546395 | Samples: 40 | Loss: 0.1409 | LR: 4.67e-05
2026-01-08 23:30:57.475937 | Samples: 40 | Loss: 0.1151 | LR: 4.67e-05
2026-01-08 23:31:49.145167 | Samples: 40 | Loss: 0.1315 | LR: 4.66e-05
2026-01-08 23:32:38.871887 | Samples: 40 | Loss: 0.1764 | LR: 4.66e-05
2026-01-08 23:33:34.337533 | Samples: 40 | Loss: 0.1208 | LR: 4.65e-05
2026-01-08 23:34:25.061740 | Samples: 40 | Loss: 0.1441 | LR: 4.65e-05
2026-01-08 23:35:13.301207 | Samples: 40 | Loss: 0.1614 | LR: 4.65e-05
2026-01-08 23:36:03.179586 | Samples: 40 | Loss: 0.1707 | LR: 4.64e-05
2026-01-08 23:37:02.137878 | Samples: 40 | Loss: 0.1524 | LR: 4.64e-05
2026-01-08 23:37:54.872547 | Samples: 40 | Loss: 0.1677 | LR: 4.63e-05
2026-01-08 23:38:44.277032 | Samples: 40 | Loss: 0.1501 | LR: 4.63e-05
2026-01-08 23:39:39.899837 | Samples: 40 | Loss: 0.1464 | LR: 4.63e-05
2026-01-08 23:40:31.361688 | Samples: 40 | Loss: 0.1019 | LR: 4.62e-05
2026-01-08 23:41:21.323718 | Samples: 40 | Loss: 0.1441 | LR: 4.62e-05
2026-01-08 23:42:18.177329 | Samples: 40 | Loss: 0.1405 | LR: 4.61e-05
2026-01-08 23:43:03.862364 | Samples: 40 | Loss: 0.1256 | LR: 4.61e-05
2026-01-08 23:43:57.922086 | Samples: 40 | Loss: 0.1323 | LR: 4.61e-05
2026-01-08 23:44:49.354769 | Samples: 40 | Loss: 0.1617 | LR: 4.60e-05
2026-01-08 23:45:39.509553 | Samples: 40 | Loss: 0.1127 | LR: 4.60e-05
2026-01-08 23:46:30.644812 | Samples: 40 | Loss: 0.1436 | LR: 4.59e-05
2026-01-08 23:47:25.943287 | Samples: 40 | Loss: 0.1320 | LR: 4.59e-05
2026-01-08 23:48:16.857251 | Samples: 40 | Loss: 0.1595 | LR: 4.58e-05
2026-01-08 23:49:08.795644 | Samples: 40 | Loss: 0.1450 | LR: 4.58e-05
2026-01-08 23:49:55.682006 | Samples: 40 | Loss: 0.1251 | LR: 4.58e-05
2026-01-08 23:50:48.215615 | Samples: 40 | Loss: 0.1398 | LR: 4.57e-05
2026-01-08 23:51:32.982414 | Samples: 40 | Loss: 0.1683 | LR: 4.57e-05
2026-01-08 23:52:23.581167 | Samples: 40 | Loss: 0.1644 | LR: 4.56e-05
2026-01-08 23:53:10.865237 | Samples: 40 | Loss: 0.1136 | LR: 4.56e-05
2026-01-08 23:54:00.102243 | Samples: 40 | Loss: 0.1587 | LR: 4.55e-05
2026-01-08 23:54:49.963169 | Samples: 40 | Loss: 0.1289 | LR: 4.55e-05
2026-01-08 23:55:42.332683 | Samples: 40 | Loss: 0.1199 | LR: 4.55e-05
2026-01-08 23:56:32.309694 | Samples: 40 | Loss: 0.1321 | LR: 4.54e-05
2026-01-08 23:57:32.335138 | Samples: 40 | Loss: 0.1559 | LR: 4.54e-05
2026-01-08 23:58:25.389931 | Samples: 40 | Loss: 0.1406 | LR: 4.53e-05
2026-01-08 23:59:24.493962 | Samples: 40 | Loss: 0.1360 | LR: 4.53e-05
2026-01-09 00:00:13.927174 | Samples: 40 | Loss: 0.1348 | LR: 4.52e-05
2026-01-09 00:01:02.455279 | Samples: 40 | Loss: 0.1006 | LR: 4.52e-05
